"Anna von Württemberg",01-30-1513,29-06-1530,,,
"Antonio Cordeses",09-08-1518,16-05-1601,"Crown of Aragon","Writer, Priest, Monk"," Lecturer, Theologist"
"Antonio II da Montefeltro",01-01-1348,29-04-1404,,"Condottiere",
"Antonio Filocamo",01-01-1669,01-01-1734,,"Painter",
"Antonius Pius",17-09-0086,06-03-0161,"Roman Empire","Politician",
"Antonio Rido",,01-09-1450,,"Military",
"Antoniotto Adorno",01-01-1340,05-06-1398,"Republic of Genoa","Politician"," Ruler"
"Anne von Böhmen",19-05-1366,15-06-1394,"Bohemian Kingdom","Politician",
